"SGG_NM","BJDONG_NM","AVG(RENT_GTN)"
"성동구","용답동",21416.6666666666666666666666666666666667
"동대문구","용두동",22961.1111111111111111111111111111111111
"용산구","용문동",25687.9166666666666666666666666666666667
"용산구","용산동2가",18642.8571428571428571428571428571428571
"용산구","용산동3가",12600
"서초구","우면동",36860
"강북구","우이동",17150
"종로구","원서동",19466.6666666666666666666666666666666667
"용산구","원효로1가",21400
"용산구","원효로2가",25571.4285714285714285714285714285714286
"용산구","원효로3가",20512.5
"용산구","원효로4가",20381.25
"노원구","월계동",19000
"중구","을지로6가",23625
"성동구","응봉동",13000
"은평구","응암동",17657.3529411764705882352941176470588235
"동대문구","이문동",7000
"용산구","이태원동",26350
"강남구","일원동",24590.9090909090909090909090909090909091
"강남구","자곡동",47500
"광진구","자양동",24433.7192982456140350877192982456140351
"송파구","잠실동",24408.4210526315789473684210526315789474
"서초구","잠원동",18500
"동대문구","장안동",26722.2222222222222222222222222222222222
"성북구","장위동",18335.7142857142857142857142857142857143
"중구","장충동1가",9000
"중구","장충동2가",14175
"동대문구","전농동",21580
"성북구","정릉동",17865.7894736842105263157894736842105263
"동대문구","제기동",22540
"성북구","종암동",20000
"용산구","주성동",15000
"노원구","중계동",14875
"광진구","중곡동",23461.5957446808510638297872340425531915
"마포구","중동",20500
"중랑구","중화동",19735.7142857142857142857142857142857143
"은평구","증산동",12875
"은평구","진관동",56000
"도봉구","창동",16337.5
"종로구","창신동",14961.6666666666666666666666666666666667
"마포구","창전동",24500
"서대문구","창천동",18000
"강동구","천호동",22420.6458333333333333333333333333333333
"강남구","청담동",32683.3333333333333333333333333333333333
"동대문구","청량리동",9000
"종로구","청운동",25000
"용산구","청파동1가",21606
"용산구","청파동2가",22733.3333333333333333333333333333333333
"용산구","청파동3가",21777.7777777777777777777777777777777778
"종로구","평창동",46166.6666666666666666666666666666666667
"송파구","풍납동",16000
"노원구","하계동",34000
"성동구","하왕십리동",30250
"성북구","하월곡동",18000
"용산구","한강로1가",43000
"용산구","한강로2가",12070
"용산구","한강로3가",19000
"용산구","한남동",10000
"마포구","합정동",23004.1666666666666666666666666666666667
"구로구","항동",25000
"성동구","행당동",25515.9090909090909090909090909090909091
"종로구","행촌동",12000
"마포구","현석동",13650
"종로구","혜화동",24200
"서대문구","홍은동",18652.8125
"성동구","홍익동",27000
"서대문구","홍제동",16841.6666666666666666666666666666666667
"강서구","화곡동",18973.8888888888888888888888888888888889
"광진구","화양동",15464.2857142857142857142857142857142857
"중구","황학동",23500
"중구","회현동1가",25000
"용산구","효창동",27784.7222222222222222222222222222222222
"용산구","후암동",23055.5555555555555555555555555555555556
"동작구","흑석동",30000
