"SGG_NM","BJDONG_NM","AVG(RENT_FEE)"
"동대문구","장안동",57.45454545454545454545454545454545454545
"성북구","장위동",63.33333333333333333333333333333333333333
"중구","장충동2가",55.25
"동대문구","전농동",40.71428571428571428571428571428571428571
"성북구","정릉동",54.2
"동대문구","제기동",40
"성북구","종암동",67
"노원구","중계동",20
"광진구","중곡동",41.46428571428571428571428571428571428571
"마포구","중동",56.2
"중구","중림동",85
"중랑구","중화동",50.55555555555555555555555555555555555556
"은평구","증산동",60
"도봉구","창동",51.41666666666666666666666666666666666667
"마포구","창전동",24.5
"서대문구","창천동",50.25
"서대문구","천연동",80
"강동구","천호동",49.83333333333333333333333333333333333333
"강남구","청담동",81.33333333333333333333333333333333333333
"동대문구","청량리동",51.33333333333333333333333333333333333333
"종로구","청운동",20
"용산구","청파동1가",51
"용산구","청파동3가",52
"종로구","평창동",110
"송파구","풍납동",27.75
"노원구","하계동",35
"성동구","하왕십리동",67
"용산구","한남동",208.333333333333333333333333333333333333
"마포구","합정동",62.47368421052631578947368421052631578947
"성동구","행당동",52.6
"종로구","행촌동",51.4
"서대문구","홍은동",51.25
"서대문구","홍제동",75
"종로구","홍지동",90
"강서구","화곡동",52.24489795918367346938775510204081632653
"광진구","화양동",57.25
"중구","황학동",15
"중구","회현동1가",60
"용산구","효창동",41.33333333333333333333333333333333333333
"용산구","후암동",41.71428571428571428571428571428571428571
"동대문구","휘경동",35
"동작구","흑석동",35
