"SGG_NM","BJDONG_NM","AVG(OBJ_AMT)"
"구로구","오류동",28922.2222222222222222222222222222222222
"종로구","옥인동",44000
"구로구","온수동",35614.375
"강서구","외발산동",17200
"마포구","용강동",42833.3333333333333333333333333333333333
"성동구","용답동",47912.5
"동대문구","용두동",38500
"용산구","용문동",41750
"용산구","용산동2가",33293.3333333333333333333333333333333333
"서초구","우면동",35925
"강북구","우이동",20692.8571428571428571428571428571428571
"종로구","원서동",38166.6666666666666666666666666666666667
"용산구","원효로1가",61100
"용산구","원효로4가",74166.6666666666666666666666666666666667
"노원구","월계동",18665
"성동구","응봉동",29619.2307692307692307692307692307692308
"은평구","응암동",28221.2765957446808510638297872340425532
"동대문구","이문동",28216.25
"용산구","이태원동",49100
"강남구","일원동",86833.3333333333333333333333333333333333
"광진구","자양동",43847.4545454545454545454545454545454545
"송파구","잠실동",38512.5
"서초구","잠원동",30000
"동대문구","장안동",39974.4680851063829787234042553191489362
"성북구","장위동",28747.4545454545454545454545454545454545
"중구","장충동1가",35000
"동대문구","전농동",28231.25
"성북구","정릉동",33320
"동대문구","제기동",25800
"성북구","종암동",31291.6666666666666666666666666666666667
"노원구","중계동",17258.3333333333333333333333333333333333
"광진구","중곡동",37050.8771929824561403508771929824561404
"마포구","중동",31925
"중구","중림동",56000
"중랑구","중화동",28674.358974358974358974358974358974359
"은평구","증산동",46337.5
"도봉구","창동",20940.625
"종로구","창신동",50000
"마포구","창전동",20750
"서대문구","창천동",34500
"강동구","천호동",34517.1264367816091954022988505747126437
"강남구","청담동",413632.1363636363636363636363636363636364
"동대문구","청량리동",26500
"종로구","청운동",80000
"용산구","청파동1가",52131.4285714285714285714285714285714286
"용산구","청파동2가",47000
"종로구","평창동",70583.3333333333333333333333333333333333
"송파구","풍납동",34550
"중구","필동3가",15000
"노원구","하계동",62666.6666666666666666666666666666666667
"성북구","하월곡동",29028.5714285714285714285714285714285714
"용산구","한강로2가",75000
"용산구","한남동",215228.5714285714285714285714285714285714
"마포구","합정동",39177.2727272727272727272727272727272727
"구로구","항동",103250
"성동구","행당동",53680
"마포구","현석동",39000
"종로구","혜화동",35159.125
"서대문구","홍은동",21464.2857142857142857142857142857142857
"성동구","홍익동",52000
"서대문구","홍제동",35542.1052631578947368421052631578947368
"강서구","화곡동",24519.6226415094339622641509433962264151
"광진구","화양동",48609.0909090909090909090909090909090909
"중구","황학동",26720
"동대문구","회기동",8700
"용산구","효창동",47862.5
"용산구","후암동",49745
"동대문구","휘경동",33616.6666666666666666666666666666666667
"동작구","흑석동",54000
