"SGG_NM","BJDONG_NM","AVG(OBJ_AMT)"
"서대문구","충정로3가",15500
"종로구","필운동",16500
"노원구","하계동",13000
"성동구","하왕십리동",23488.8888888888888888888888888888888889
"용산구","한강로1가",45750
"용산구","한강로2가",51433.3333333333333333333333333333333333
"용산구","한강로3가",47147.5
"서대문구","합동",29241.6666666666666666666666666666666667
"마포구","합정동",33100
"성동구","행당동",20110
"서대문구","홍은동",7650
"강서구","화곡동",18192.6315789473684210526315789473684211
"광진구","화양동",18318.4210526315789473684210526315789474
"중구","황학동",21753.5294117647058823529411764705882353
"종로구","효제동",17337.5
"용산구","후암동",23500
"동대문구","휘경동",14006.1538461538461538461538461538461538
"중구","흥인동",18425
