"SGG_NM","BJDONG_NM","AVG(RENT_FEE)"
"서초구","우면동",88.82352941176470588235294117647058823529
"강북구","우이동",100
"용산구","원효로1가",61.33333333333333333333333333333333333333
"용산구","원효로4가",90
"노원구","월계동",58.63888888888888888888888888888888888889
"강남구","율현동",90
"성동구","응봉동",93.83333333333333333333333333333333333333
"은평구","응암동",86.40740740740740740740740740740740740741
"동대문구","이문동",97.25
"용산구","이촌동",204.173913043478260869565217391304347826
"용산구","이태원동",386.666666666666666666666666666666666667
"중구","인현동2가",77.16666666666666666666666666666666666667
"강남구","일원동",81.68965517241379310344827586206896551724
"중구","입정동",164
"강남구","자곡동",127.9
"광진구","자양동",173.62962962962962962962962962962962963
"송파구","잠실동",171.19696969696969696969696969696969697
"서초구","잠원동",128.909090909090909090909090909090909091
"동대문구","장안동",96.125
"성북구","장위동",55
"송파구","장지동",156.761904761904761904761904761904761905
"동대문구","전농동",76.27272727272727272727272727272727272727
"중구","정동",113.333333333333333333333333333333333333
"성북구","정릉동",87.44444444444444444444444444444444444444
"동대문구","제기동",158.333333333333333333333333333333333333
"성북구","종암동",117.142857142857142857142857142857142857
"노원구","중계동",57.67924528301886792452830188679245283019
"광진구","중곡동",60
"마포구","중동",54
"중구","중림동",55.75
"중랑구","중화동",78.33333333333333333333333333333333333333
"은평구","진관동",65.32142857142857142857142857142857142857
"도봉구","창동",63.75
"종로구","창신동",20
"마포구","창전동",118.090909090909090909090909090909090909
"서대문구","창천동",135
"서대문구","천연동",45
"구로구","천왕동",30.4
"강동구","천호동",88.81818181818181818181818181818181818182
"강남구","청담동",321
"동대문구","청량리동",90
"서대문구","충정로3가",61
"종로구","평동",113
"종로구","평창동",155
"송파구","풍납동",97.58333333333333333333333333333333333333
"노원구","하계동",64.96551724137931034482758620689655172414
"성동구","하왕십리동",166.590909090909090909090909090909090909
"성북구","하월곡동",74.2
"마포구","하중동",120
"용산구","한강로2가",238.714285714285714285714285714285714286
"용산구","한강로3가",135.909090909090909090909090909090909091
"용산구","한남동",206.777777777777777777777777777777777778
"마포구","합정동",240
"구로구","항동",55
"성동구","행당동",115.782608695652173913043478260869565217
"종로구","행촌동",61
"마포구","현석동",92
"서대문구","현저동",106.8
